"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Bicycle","Number","28"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Bus, minibus or coach","Number","305"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Train, DART or LUAS","Number","18"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Motor car: Passenger","Number","1706"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Van","Number","16"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Other, incl. lorry","Number","2"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","Not stated","Number","75"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","06:30 - 07:00","All means of travel","Number","2478"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","On foot","Number","652"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Bicycle","Number","68"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Bus, minibus or coach","Number","1539"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Train, DART or LUAS","Number","134"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Motor car: Passenger","Number","5685"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Van","Number","36"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Other, incl. lorry","Number","5"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","Not stated","Number","167"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:01 - 07:30","All means of travel","Number","8286"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","On foot","Number","7361"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Bicycle","Number","1479"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Bus, minibus or coach","Number","8839"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Train, DART or LUAS","Number","431"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Motor car: Passenger","Number","33149"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Van","Number","137"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Other, incl. lorry","Number","39"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","Not stated","Number","810"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","07:31 - 08:00","All means of travel","Number","52245"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","On foot","Number","56724"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Bicycle","Number","7362"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Bus, minibus or coach","Number","17889"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Train, DART or LUAS","Number","281"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Both sexes","Children at school aged between 5 and 12 years","08:01 - 08:30","Motor car: Passenger","Number","114254"
